R	E(CCSD(T))		
1.40	-3459.19135716146	-0.06498019374	-14261.50407
1.45	-3459.24667995491	-0.00965740029	-2119.554369
1.50	-3459.28942351785	0.03308616265	7261.573351
1.55	-3459.32166711631	0.06532976111	14338.22524
1.60	-3459.34513917192	0.08880181672	19489.74599
1.65	-3459.36130587705	0.10496852185	23037.92764
1.70	-3459.37142222779	0.11508487259	25258.20999
1.75	-3459.37656337858	0.12022602338	26386.56216
1.80	-3459.37764803072	0.12131067552	26624.61579
1.85	-3459.37545832802	0.11912097282	26144.0316
1.90	-3459.37065711207	0.11431975687	25090.2865
1.95	-3459.36380172710	0.10746437190	23585.70341
2.00	-3459.35534685248	0.09900949728	21730.07292
2.05	-3459.34559715516	0.08925979996	19590.26169
2.10	-3459.33431969584	0.07798234064	17115.14547
2.15	-3459.32114353443	0.06480617923	14223.3123
2.20	-3459.30735892734	0.05102157214	11197.94074
2.25	-3459.29369416368	0.03735680848	8198.87177
2.30	-3459.28048474345	0.02414738825	5299.739135
2.35	-3459.26797615725	0.01163880205	2554.42179
2.40	-3459.25633735520	0.00000000000	0
